id,date_created,current_status,status_history,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35
0,06/01/2021,Destroyed,"['Created 06/01/2021 Cleveland Clinic - Avon Hospital', 'Destroyed 06/21/2022 Ohio Attorney General']",Created 06/01/2021 Cleveland Clinic - Avon Hospital,Destroyed 06/21/2022 Ohio Attorney General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,04/29/2020,Removed,"[""Created 04/29/2020 Akron Children's Hospital Main Campus"", 'Repurposed 06/21/2022 Ohio Attorney General']",Created 04/29/2020 Akron Children's Hospital Main Campus,Repurposed 06/21/2022 Ohio Attorney General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,05/14/2020,Analyzed by lab,"[""Created 05/14/2020 Akron Children's Hospital Main Campus"", 'Received 05/15/2020 Akron Police Department', 'Received 05/26/2020 BCI Richfield', 'Received 07/01/2020 Akron Police Department']",Created 05/14/2020 Akron Children's Hospital Main Campus,Received 05/15/2020 Akron Police Department,Received 05/26/2020 BCI Richfield,Received 07/01/2020 Akron Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,03/20/2020,Analyzed by lab,"[""Created 03/20/2020 Akron Children's Hospital Main Campus"", 'Received 03/20/2020 Akron Police Department', 'Received 04/22/2020 BCI Richfield', 'Received 05/12/2020 Akron Police Department']",Created 03/20/2020 Akron Children's Hospital Main Campus,Received 03/20/2020 Akron Police Department,Received 04/22/2020 BCI Richfield,Received 05/12/2020 Akron Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12/30/2021,Destroyed,"['Created 12/30/2021 Trihealth Bethesda Butler Hospital', 'Destroyed 12/30/2021 Ohio Attorney General']",Created 12/30/2021 Trihealth Bethesda Butler Hospital,Destroyed 12/30/2021 Ohio Attorney General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,06/03/2020,Analyzed by lab,"[""Created 06/03/2020 Akron Children's Hospital Main Campus"", ""Received 06/03/2020 Wayne County Sheriff's Office"", 'Received 06/18/2020 BCI Richfield', ""Received 08/23/2020 Wayne County Sheriff's Office""]",Created 06/03/2020 Akron Children's Hospital Main Campus,Received 06/03/2020 Wayne County Sheriff's Office,Received 06/18/2020 BCI Richfield,Received 08/23/2020 Wayne County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,03/30/2020,Analyzed by lab,"[""Created 03/30/2020 Akron Children's Hospital Main Campus"", ""Received 03/30/2020 Summit County Sheriff's Office"", 'Received 03/30/2020 BCI Richfield', ""Received 06/25/2020 Summit County Sheriff's Office""]",Created 03/30/2020 Akron Children's Hospital Main Campus,Received 03/30/2020 Summit County Sheriff's Office,Received 03/30/2020 BCI Richfield,Received 06/25/2020 Summit County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,06/12/2020,Analyzed by lab,"[""Created 06/12/2020 Akron Children's Hospital Main Campus"", ""Received 06/12/2020 Portage County Sheriff's Office"", 'Received 07/01/2020 BCI Richfield', ""Received 08/07/2020 Portage County Sheriff's Office""]",Created 06/12/2020 Akron Children's Hospital Main Campus,Received 06/12/2020 Portage County Sheriff's Office,Received 07/01/2020 BCI Richfield,Received 08/07/2020 Portage County Sheriff's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,04/29/2020,Analyzed by lab,"[""Created 04/29/2020 Akron Children's Hospital Main Campus"", 'Received 04/30/2020 Akron Police Department', 'Received 05/12/2020 BCI Richfield', 'Received 06/11/2020 Akron Police Department']",Created 04/29/2020 Akron Children's Hospital Main Campus,Received 04/30/2020 Akron Police Department,Received 05/12/2020 BCI Richfield,Received 06/11/2020 Akron Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,05/08/2020,Analyzed by lab,"[""Created 05/08/2020 Akron Children's Hospital Main Campus"", 'Received 05/08/2020 Lorain Police Department', 'Received 05/14/2020 BCI Richfield', 'Received 07/22/2020 Lorain Police Department']",Created 05/08/2020 Akron Children's Hospital Main Campus,Received 05/08/2020 Lorain Police Department,Received 05/14/2020 BCI Richfield,Received 07/22/2020 Lorain Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,05/10/2020,Destroyed,"[""Created 05/10/2020 Akron Children's Hospital Main Campus"", 'Destroyed 02/19/2021 Out Of State']",Created 05/10/2020 Akron Children's Hospital Main Campus,Destroyed 02/19/2021 Out Of State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,04/14/2020,Analyzed by lab,"[""Created 04/14/2020 Akron Children's Hospital Main Campus"", 'Received 04/14/2020 Barberton Police Department', 'Received 04/17/2020 BCI Richfield', 'Received 05/22/2020 Barberton Police Department']",Created 04/14/2020 Akron Children's Hospital Main Campus,Received 04/14/2020 Barberton Police Department,Received 04/17/2020 BCI Richfield,Received 05/22/2020 Barberton Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,07/02/2020,Sent to lab,"[""Created 07/02/2020 Akron Children's Hospital Main Campus"", 'Received 06/10/2021 Massillon Police Department', 'Received 06/10/2021 Massillon Police Department']",Created 07/02/2020 Akron Children's Hospital Main Campus,Received 06/10/2021 Massillon Police Department,Received 06/10/2021 Massillon Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,07/07/2020,Destroyed,"[""Created 07/07/2020 Akron Children's Hospital Main Campus"", 'Destroyed 06/21/2022 Ohio Attorney General']",Created 07/07/2020 Akron Children's Hospital Main Campus,Destroyed 06/21/2022 Ohio Attorney General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,06/21/2020,Analyzed by lab,"[""Created 06/21/2020 Akron Children's Hospital Main Campus"", 'Received 06/23/2020 Akron Police Department', 'Received 06/25/2020 BCI Richfield', 'Received 07/29/2020 Akron Police Department']",Created 06/21/2020 Akron Children's Hospital Main Campus,Received 06/23/2020 Akron Police Department,Received 06/25/2020 BCI Richfield,Received 07/29/2020 Akron Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,06/21/2020,Analyzed by lab,"[""Created 06/21/2020 Akron Children's Hospital Main Campus"", 'Received 06/22/2020 Akron Police Department', 'Received 06/25/2020 BCI Richfield', 'Received 08/04/2020 Akron Police Department']",Created 06/21/2020 Akron Children's Hospital Main Campus,Received 06/22/2020 Akron Police Department,Received 06/25/2020 BCI Richfield,Received 08/04/2020 Akron Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,07/01/2020,Analyzed by lab,"[""Created 07/01/2020 Akron Children's Hospital Main Campus"", 'Received 10/15/2020 Springfield Twp. Police Department - Summit', 'Received 11/12/2020 BCI Richfield']",Created 07/01/2020 Akron Children's Hospital Main Campus,Received 10/15/2020 Springfield Twp. Police Department - Summit,Received 11/12/2020 BCI Richfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,07/02/2020,Analyzed by lab,"[""Created 07/02/2020 Akron Children's Hospital Main Campus"", 'Received 07/02/2020 Alliance Police Department', 'Received 08/25/2021 BCI Richfield', 'Received 08/25/2021 BCI Richfield']",Created 07/02/2020 Akron Children's Hospital Main Campus,Received 07/02/2020 Alliance Police Department,Received 08/25/2021 BCI Richfield,Received 08/25/2021 BCI Richfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,11/09/2020,Destroyed,"['Created 11/09/2020 OhioHealth Grady Memorial Hospital', 'Destroyed 11/09/2020 OhioHealth Riverside Methodist Hospital']",Created 11/09/2020 OhioHealth Grady Memorial Hospital,Destroyed 11/09/2020 OhioHealth Riverside Methodist Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,11/09/2020,Analyzed by lab,"['Created 11/09/2020 OhioHealth Grady Memorial Hospital', 'Received 11/09/2020 Delaware Police Department', 'Received 11/12/2020 BCI London', 'Received 11/12/2020 BCI London', 'Received 01/13/2021 Delaware Police Department']",Created 11/09/2020 OhioHealth Grady Memorial Hospital,Received 11/09/2020 Delaware Police Department,Received 11/12/2020 BCI London,Received 11/12/2020 BCI London,Received 01/13/2021 Delaware Police Department,,,,,,,,,,,,,,,,,,,,,,,,,,,
